Year Reported to CDP,Account Number,Organization,City,Country,,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update,Water 2014 - Number of drivers,City,lon,lat,Per capita Emissions (tonnes),Country total emissions 2020 (tonnes)
2019,35879,City of Minneapolis,Minneapolis,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2018-01-01 - 2018-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,2756800,1402603,140461,4299864,4299864,Increased,Change in weather conditions,,422331,2017,POINT (-93.2667 44.9833),2020-01-12T04:30:42.857,46,POINT,-93.2667,44.9833,10.18126541,6718634480
2018,35879,City of Minneapolis,Minneapolis,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2522163,1470842,124288,4117293,4117293,Decreased,Technological change,,419952,2016,POINT (-93.2667 44.9833),2020-01-12T04:30:40.780,46,POINT,-93.2667,44.9833,9.804199051,6718634480
2018,59538,City of Mississauga,Mississauga,Canada,Canada,North America,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,6298053.5,302422.2135,,6600475.713,,This is our first year of calculation,,,721599,2016,POINT (43.589 -79.6441),2020-01-12T04:30:40.780,,POINT,43.589,-79.6441,9.147013387,737274611.1
2019,54608,Alcaldia de Montería,Montería,Colombia,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2012-01-01 - 2012-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,827954,75784,39631,903738,943369,Decreased,Technological change,,357746,2018,POINT (-75.8814 8.74798),2020-01-12T04:30:42.857,154,POINT,-75.8814,8.74798,2.526200153,219596531.5
2018,54608,Alcaldia de Montería,Montería,Colombia,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2012-01-01 - 2012-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,827.954,75.784,39.631,903.738,943.369,Decreased,Technological change,,441301,2015,POINT (-75.8814 8.74798),2020-01-12T04:30:40.780,154,POINT,-75.8814,8.74798,0.002047895,219596531.5
2019,42388,Intendencia de Montevideo,Montevideo,Uruguay,Uruguay,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,3168923,42791,0,3211715,0,Stayed the same,Emissions have not changed,,1380432,2016,POINT (-58.2987 -34.7112),2020-01-12T04:30:42.857,,POINT,-58.2987,-34.7112,2.326601383,44478960.12
2018,35894,Ville de Montreal,Montréal,Canada,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,11179649,40031,287832,10384940,11507512,Stayed the same,Emissions have not changed,,1942044,2016,POINT (-73.554 45.5087),2020-01-12T04:30:40.780,42,POINT,-73.554,45.5087,5.347427762,737274611.1
2019,35894,Ville de Montreal,Montréal,Canada,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,11179649,40031,287832,10384940,11507512,Stayed the same,Emissions have not changed,,1942044,2016,POINT (-73.554 45.5087),2020-01-12T04:30:42.857,42,POINT,-73.554,45.5087,5.347427762,737274611.1
2019,59158,Moroni City,Moroni,Comoros,Comoros,Africa,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,33277,13340,6643,49285,53260,This is our first year of calculation,Lack of resource / funding overcome,,55541,2016,POINT (43.2473 -11.7172),2020-01-12T04:30:42.857,,POINT,43.2473,-11.7172,0.887362489,782520.18
2018,59158,Moroni City,Moroni,Comoros,Comoros,Africa,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,33277,0,0,49285,53260,This is our first year of calculation,Lack of resource / funding overcome,,40050,2003,POINT (43.2473 -11.7172),2020-01-12T04:30:40.780,,POINT,43.2473,-11.7172,1.230586767,782520.18
2019,61427,Municipality of Nacala,Nacala,Mozambique,Mozambique,Africa,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The desktop study included a review of the GPC standard and the CDP and carbonn climate registry reporting platforms.,No,"CH4, CO2, N20",,,,,,,198679,2137,3968,200816,204784,Stayed the same,Other: This is our first inventory report,,224795,2019,POINT (40.6854 -14.5656),2020-01-12T04:30:42.857,,POINT,40.6854,-14.5656,0.893329478,47119116.7
2019,49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,6680198,5801169,979925,13461292,13461292,Increased,Improved data accuracy,,667560,2017,POINT (-86.7816 36.1627),2020-01-12T04:30:42.857,46,POINT,-86.7816,36.1627,20.16491701,6718634480
2018,49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,6680198,5801169,979925,13461292,13461292,Increased,Improved data accuracy,,667560,2017,POINT (-86.7816 36.1627),2020-01-12T04:30:40.780,46,POINT,-86.7816,36.1627,20.16491701,6718634480
2018,58668,"City of New Bedford, MA",New Bedford,United States,United States,North America,CDP Cities,public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,328329,152164,0,480493,0,,,,95120,2017,POINT (-70.9342 41.6362),2020-01-12T04:30:40.780,,POINT,-70.9342,41.6362,5.051440286,6718634480
2018,35272,City of New Haven (CT),New Haven ,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,761145,297225,84919,1143288,1143288,Decreased,,,131014,2017,POINT (-72.9276 41.3093),2020-01-12T04:30:40.780,,POINT,-72.9276,41.3093,8.726456715,6718634480
2019,56276,New Taipei City Government,New Taipei,Taiwan,Taiwan,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Since 2014, we inventoried GHG by using the method of GPC, we also inventoried Guideline of GHG accounting and inventory issued by Taiwan EPA, which mainly refer to the ""International Emissions Analysis Protocol (ICLEI)"" and ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"". We have finished 2016 and 2017 GHG inventory and verified by British Standards Institution(BSI Taiwan) in June, 2019.",No,"CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,7897231,12323518,731525,20144995,20952274,Increased,Increased energy/electricity consumption,,3986689,2017,POINT (121.446 25.0111),2020-01-12T04:30:42.857,,POINT,121.446,25.0111,5.053064084,287778804.1
2018,56276,New Taipei City Government,New Taipei,Taiwan,Taiwan,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,7653808,,,18235086,19019096,Decreased,Behavioural change,,3986689,2017,POINT (121.446 25.0111),2020-01-12T04:30:40.780,,POINT,121.446,25.0111,4.573992604,287778804.1
2018,3417,New York City,New York City,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,35850141,14262756,1622506,51735403,,Decreased,Behavioural change,,8537673,2016,POINT (-74.0059 40.7128),2020-01-12T04:30:40.780,,POINT,-74.0059,40.7128,6.05966087,6718634480
2018,50220,Métropole Nice Côte d'Azur,Nice,France,France,Europe,CDP Cities,public,Yes,2013-01-01 - 2013-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1871017,268674,0,2139692,2139692,,,,560000,2016,POINT (7.26195 43.7102),2020-01-12T04:30:40.780,,POINT,7.26195,43.7102,3.820878571,469163332.6
2018,57509,Prefeitura Niterói,Niterói,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1134407.8,,,1729602.21,,This is our first year of calculation,Lack of knowledge overcome,,499.028,2017,POINT (-43.1184 -22.8928),2020-01-12T04:30:40.780,,POINT,-43.1184,-22.8928,3465.942212,1105067347
2019,57509,Prefeitura Niterói,Niterói,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Foi realizado inventário de emissão de gases por meio do Software ClearPath, referente às atividades do ano de 2015.",No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,1134407.8,164574.2,430620,1729602.21,0,This is our first year of calculation,Other: Primeiro ano de cálculo,,511786,2018,POINT (-43.1184 -22.8928),2020-01-12T04:30:42.857,,POINT,-43.1184,-22.8928,3.379541859,1105067347
2018,59669,City of North Vancouver,North Vancouver,Canada,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,205886,4159,1929,211975,,Stayed the same,Emissions have not changed,,52898,2016,POINT (-123.072 49.32),2020-01-12T04:30:40.780,,POINT,-123.072,49.32,4.007240349,737274611.1
2018,50560,City of Oakland,Oakland,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2032515,370834,3659181,2462536,0,Stayed the same,Emissions have not changed,,420000,2016,POINT (-122.271 37.8044),2020-01-12T04:30:40.780,,POINT,-122.271,37.8044,5.863180952,6718634480
2019,43909,City of Orlando,Orlando,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2017-10-01 - 2018-09-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,CO2,,,,,,,3271435,3722734,,6994170,6994170,Decreased,Change in weather conditions,,280258,2018,POINT (-81.3792 28.5383),2020-01-12T04:30:42.857,,POINT,-81.3792,28.5383,24.95618323,6718634480
2018,43911,City of Ottawa,Ottawa,Canada,Canada,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,5944000,277000,,6017000,6221000,,,,979.173,2017,POINT (-75.6972 45.4215),2020-01-12T04:30:40.780,42,POINT,-75.6972,45.4215,6144.98153,737274611.1
2019,31175,City of Paris,Paris,France,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Since 2014, Paris translate its emission inventory in GPC protocol.",No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,3359242,1836421,2917831,5489249,7949494,Decreased,Other,,2249975,2016,POINT (2.35222 48.8566),2020-01-12T04:30:42.857,44,POINT,2.35222,48.8566,2.43969333,469163332.6
2018,31175,City of Paris,Paris,France,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3359242,,,5489249,7949494,Decreased,,,2265886,2015,POINT (2.35222 48.8566),2020-01-12T04:30:40.780,44,POINT,2.35222,48.8566,2.422561859,469163332.6
2018,14344,"City of Park City, UT",Park City,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,6309.564008,9245.483051,515.1576,15555.04706,16070.20466,This is our first year of calculation,Previous data was not reliable,,7873,2012,POINT (-111.498 40.6461),2020-01-12T04:30:40.780,,POINT,-111.498,40.6461,1.975745848,6718634480
2019,54603,Alcaldia de Pasto,Pasto,Colombia,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-06-15 - 2018-06-14,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Este inventario de Gases de Efecto Invernadero (GEI) fue realizado utilizando el modelo GPC (Global Protocol for Community-Scale Greenhouse Gas Emission Inventories) (Protocolo Globalpara Inventarios de Emisiones de Gases Efecto Invernadero a Escala Comunitaria) (World Resources Institute 2014), el cual se ha convertido desde el 2012 en un estándar para la medición de emisiones GEI a nivel de ciudad, las cuales representan más del 70% de las emisiones del planeta. Hasta la fecha, el GPC se ha implementado más de 100 ciudades importantes a nivel mundial, con el potencial de incluir otras 1000 en el corto plazo.Debido a la gran variabilidad entre los métodos existentes para inventarios GEI en las ciudades, sus resultados son frecuentemente inconsistentes, dificultan la comparación entre ellas y generan dudas sobre la validez de sus conclusiones para la toma de decisiones de mitigación.",No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,94515.9,290,14500,69600,,Stayed the same,No new inventory to report,,455678,2015,,2020-01-12T04:30:42.857,,,,,0.152739434,219596531.5
2019,43934,City of Perth,Perth,Australia,Australia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2014-07-01 - 2015-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,123613,1028194,209463,653337,,This is our first year of calculation,,,29627,2019,POINT (115.861 -31.9526),2020-01-12T04:30:42.857,,POINT,115.861,-31.9526,22.05208087,556624251.1
2018,43934,City of Perth,Perth,Australia,Australia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-07-01 - 2015-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,653337,,,,,27432,2017,POINT (115.861 -31.9526),2020-01-12T04:30:40.780,,POINT,115.861,-31.9526,23.81660105,556624251.1
2018,31181,City of Philadelphia,Philadelphia,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,13245863,,,17355479,18675341,Decreased,Technological change,,1559938,2016,POINT (-75.1638 39.9523),2020-01-12T04:30:40.780,,POINT,-75.1638,39.9523,11.12574923,6718634480
2019,31181,City of Philadelphia,Philadelphia,United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Philadelphia uses both BASIC and BASIC+ categories.,No,"CH4, CO2, N20, SF6",,,,,,,9050464,5555807,219124,14825395,15591906,Decreased,Other,,1555072,2015,POINT (-75.1638 39.9523),2020-01-12T04:30:42.857,,POINT,-75.1638,39.9523,9.533574651,6718634480
2018,35874,City of Phoenix,Phoenix,United States,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,11094141,5048773,395584,15447037,15684329,Decreased,Technological change,,1615017,2016,POINT (-112.074 33.4484),2020-01-12T04:30:40.780,59,POINT,-112.074,33.4484,9.564628112,6718634480
2019,35874,City of Phoenix,Phoenix,United States,United States,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,11094141,5048773,395584,15447378,15684670,Decreased,Technological change,,1660272,2018,POINT (-112.074 33.4484),2020-01-12T04:30:42.857,59,POINT,-112.074,33.4484,9.304124866,6718634480
2018,60656,"City of Piedmont, CA",Piedmont,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2017-01-01,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,31807,4203,1176,37186,,Decreased,Behavioural change,,11378,2017,POINT (-122.232 37.8244),2020-01-12T04:30:40.780,,POINT,-122.232,37.8244,3.268236948,6718634480
2018,57347,Pingtung County Government,Pingtung County,Taiwan,Taiwan,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2530643.7,2340441.58,0,4682213.96,4871085.28,Increased,Increased energy/electricity consumption,,829939,2017,POINT (120.47 22.6558),2020-01-12T04:30:40.780,,POINT,120.47,22.6558,5.641636265,287778804.1
2019,14874,"City of Portland, OR","Portland, OR",United States,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),None.,No,"CH4, CO2, N20",,,,,,,5442661,2148556,109907,7701120,7701120,Increased,Increased energy/electricity consumption,,807555,2017,POINT (-122.682 45.52),2020-01-12T04:30:42.857,37,POINT,-122.682,45.52,9.536341178,6718634480
2018,35880,Municipality of Porto Alegre,Porto Alegre,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2351195,,,2829128,,,,,1409351,2010,POINT (51 30),2020-01-12T04:30:40.780,,POINT,51,30,2.007397731,1105067347
2018,60318,Prefeitura de Porto Velho,Porto Velho,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,Other: Limites territoriais do município,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,17164389.21,,,850209.83,17109891.42,Do not know,Other,,428527,2010,POINT (-40.3776 -20.3338),2020-01-12T04:30:40.780,,POINT,-40.3776,-20.3338,1.984028614,1105067347
2019,49360,City of Tshwane,Pretoria - Tshwane,South Africa,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2014-07-01 - 2015-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,9138309,119473513,340698,21426358,,Do not know,Change in methodology,,3306198,2017,POINT (28.1881 -25.7461),2020-01-12T04:30:42.857,222,POINT,28.1881,-25.7461,6.480663892,526818555.2
2018,49327,City of Providence,Providence,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2184796,384000,21168,1704321,0,This is our first year of calculation,,,178562,2014,POINT (-71.4128 41.824),2020-01-12T04:30:40.780,,POINT,-71.4128,41.824,9.54470156,6718634480
2019,54348,The Local Government of Quezon City,Quezon City,Philippines,Philippines,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,5323322,2691044,,8014366,,This is our first year of calculation,Lack of knowledge overcome,,3076345,2019,POINT (120.862 15.6835),2020-01-12T04:30:42.857,,POINT,120.862,15.6835,2.605158394,236511189.8
2018,42178,Distrito Metropolitano de Quito,Quito,Ecuador,Ecuador,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,5081963,,,5759189,8083229,Increased,Population increase,,2239191,2010,POINT (-78.5167 -0.2333),2020-01-12T04:30:40.780,,POINT,-78.5167,-0.2333,2.571995422,64401636.28
2019,42178,Distrito Metropolitano de Quito,Quito,Ecuador,Ecuador,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,5081963,,,5759189,8083229,,,,2239191,2010,POINT (-78.5167 -0.2333),2020-01-12T04:30:42.857,,POINT,-78.5167,-0.2333,2.571995422,64401636.28
2018,35872,Municipality of Recife,Recife,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1613939.94,261171.32,1018927.02,2394389.88,2894038.28,Decreased,Change in weather conditions,,1633697,2017,POINT (-34.8829 -8.05783),2020-01-12T04:30:40.780,,POINT,-34.8829,-8.05783,1.465626661,1105067347
2018,54128,City of Reno,Reno,United States,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1371400.99,,,2730235.35,2751878.9,Decreased,Technological change,,245255,2016,POINT (-119.814 39.5296),2020-01-12T04:30:40.780,,POINT,-119.814,39.5296,11.13223115,6718634480
2018,54459,City of Reykjavík,Reykjavík,Iceland,Iceland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,249924,16344,0,354641,368017,Increased,Improved data accuracy,,123246,2017,POINT (-21.8174 64.1265),2020-01-12T04:30:40.780,,POINT,-21.8174,64.1265,2.877505152,5058635.791
2018,31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2012-01-01 - 2012-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,17326232,,,17006642,22574735,Increased,Increased energy/electricity consumption,,6520266,2017,POINT (-43.5614 -22.9054),2020-01-12T04:30:40.780,,POINT,-43.5614,-22.9054,2.608274264,1105067347
2019,60419,Municipalidad de Rio Grande,Rio Grande,Argentina,Argentina,Latin America,"CDP Cities, Global Covenant of Mayors",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,981954,,,810086,810086,Do not know,,,88741,2019,POINT (-67.7002 -53.786),2020-01-12T04:30:42.857,241,POINT,-67.7002,-53.786,9.1286553,389306260.5
